Size,Time,Cycles,Instructions
1000,2045621709,3847153,10420610
2000,2048036250,4181080,12180436
3000,2059622167,4320812,12593715
4000,2063545167,4453041,12765444
5000,2062091292,4590682,13109280
6000,2060545375,4723347,13297939
7000,2046481459,4853772,13404272
8000,2053538291,4974579,13208693
9000,2044899291,5101431,13200737
10000,2050616500,5224901,13071523
11000,2060873250,5555562,14303248
12000,2062328250,4132581,14357473
13000,2063463458,5850549,15593352
14000,2062805000,4169911,15570686
15000,2062430375,6109278,15714060
16000,2053920167,4171884,15616644
17000,2043284292,6359132,15549791
18000,2045720250,4169779,15566399
19000,2036443875,6610449,15417259
20000,2058875958,4165856,15437462
21000,2056341458,6899401,16082855
22000,2068243416,4174039,15704839
23000,2071517416,7135710,15494674
24000,2069997209,4174908,15731635
25000,2063426291,4179415,15879558
26000,2040583792,7542131,16234864
27000,2038089042,4191376,16268287
28000,2037045625,4190418,16237165
29000,2037916209,7923229,16215382
30000,2054731792,4183849,16023690
31000,2056658708,4196162,16391552
32000,2067863875,8318330,16207300
33000,2071013375,4191292,16265579
34000,2068317792,4188295,16168172
35000,2072517458,8702327,16214096
36000,2052947958,4179844,15893522
37000,2067440959,4187462,16141081
38000,2051335666,4193184,16327065
39000,2069852958,9212983,16268285
40000,2071301583,4188717,16138902
41000,2071036750,4197120,16454980
42000,2057794041,4183161,16001305
43000,2043513000,9720603,15771457
44000,2037779833,4189617,16211127
45000,2038817000,4195125,16343678
46000,2040009209,4190692,16246069
47000,2045363833,10229607,15732861
48000,2044784583,4191099,16259300
49000,2032004708,4191939,16286604
50000,2064539292,4174813,15680255
51000,2071050167,4205644,16730571
52000,2068941500,10898643,16335168
53000,2073545208,4188183,16164523
54000,2069883542,4194647,16374618
55000,2057863666,4195951,16360628
56000,2072178625,4173692,15693578
57000,2056549125,11524986,15962680
58000,2070839208,4193387,16332200
59000,2061002792,4190384,16236063
60000,2070045666,4194632,16313716
61000,2048437667,4205789,16736712
62000,2069758125,12171038,15825440
63000,2067970833,4196553,16436550
64000,2073544667,4194049,16355185
65000,2067113833,4192566,16242114
66000,2075090125,4192471,16303883
67000,2071655042,4192012,16288965
68000,2072938417,12946998,16174404
69000,2068903208,4192742,16312704
70000,2039601875,4191618,16204116
71000,2063439750,4203590,16665253
72000,2063176541,4192926,16317234
73000,2061050000,4187362,16137855
74000,2060754583,13725370,16193429
75000,2047617125,4181144,15858471
76000,2042042833,4184975,16060274
77000,2069848667,4193398,16334013
78000,2070602792,4192338,16299568
79000,2063571083,4191326,16266684
80000,2068598041,4189553,16130317
81000,2075721500,14640698,16510525
82000,2070699084,4191862,16284108
83000,2072503042,4191379,16268406
84000,2054776958,4194132,16357878
85000,2068763542,4192964,16234487
86000,2067451083,4183540,16013647
87000,2069845834,4191977,16287848
88000,2066427292,15527261,16298332
89000,2069493750,4192895,16317652
90000,2062354500,4193251,16238027
91000,2070749208,4200004,16548719
92000,2072348959,4179114,15869777
93000,2071381500,4180631,15919100
94000,2071688542,4191104,16259462
95000,2049565875,4194012,16262735
96000,3264791833,16559107,16262565
97000,2072437542,4190361,16235302
98000,2069897583,4196864,16446644
99000,2057102416,4198616,16403262
100000,2078430417,4189302,16200901
